,2015_Juba_An-12_crash,British_Airways_Flight_2276,2015_Russian_Sukhoi_Su-24_shootdown,2015_Shoreham_Airshow_crash,2016_Russian_Defence_Ministry_Tupolev_Tu-154_crash,2016_Silk_Way_Airlines_Antonov_An-12_crash,Afriqiyah_Airways_Flight_209,American_Airlines_Flight_383_(2016),Daallo_Airlines_Flight_159,EgyptAir_Flight_181,EgyptAir_Flight_804,Emirates_Flight_521,Flydubai_Flight_981,2016_Indian_Air_Force_An-32_disappearance,LaMia_Flight_2933,Pakistan_International_Airlines_Flight_661,Tara_Air_Flight_193,2017_Aerogaviota_Antonov_An-26_crash,2017_Myanmar_Air_Force_Shaanxi_Y-8_crash,2017_South_Supreme_Airlines_Antonov_An-26_crash,2017_Valan_International_Antonov_An-26_crash,Air_France_Flight_66,Peruvian_Airlines_Flight_112,Turkish_Airlines_Flight_6491,Air_Vanuatu_Flight_241,2018_Ju-Air_Junkers_Ju_52_crash,Saratov_Airlines_Flight_703,Syria_missile_strikes_(September_2018),US-Bangla_Airlines_Flight_211,Utair_Flight_579,2018_UY_Aviation_King_Air_C90_crash,Aeroflot_Flight_1492,Angara_Airlines_Flight_200,Bek_Air_Flight_2100,Biman_Bangladesh_Airlines_Flight_147,Ethiopian_Airlines_Flight_302,2019_Saha_Airlines_Boeing_707_crash,Ural_Airlines_Flight_178,Caspian_Airlines_Flight_6936,Pakistan_International_Airlines_Flight_8303,Pegasus_Airlines_Flight_2193,Ukraine_International_Airlines_Flight_752,2020_United_States_Air_Force_E-11A_crash
beki,-236.50467230303934,-351.9134741676228,-219.82887172340702,-62.12141766906234,-162.94949886329823,-289.9705785414526,-529.3963563275428,-433.57598449692523,-58.982822494487436,43.93561081764426,-279.9155437705191,-310.6104570270702,-203.53963204661193,-366.76630019101367,-98.5181733417171,-403.30145261944824,-29.65612715706618,-300.8418818484623,-106.39903788714105,-459.2562799252813,-138.78923562053797,-413.28833055772566,-571.7822876354057,-464.0053807457359,-240.42499432810246,-188.89773366442034,-214.06211868156788,-502.76193995734275,-209.81937074669258,-318.5981568345146,-273.7170370168751,-178.0779496355733,-217.94516049673769,-163.69809668230084,-358.8290824850851,-292.799644484347,-299.0493804010771,-143.70937664594214,-397.3022661827375,-270.0470156952074,-363.44311655662204,-151.3435712084297,-239.2434598482821
exp,60.19612987402206,-230.50426085747836,58.61484207949309,111.611356704169,115.8202972057951,-157.13714131120344,-314.2180357431736,-256.88581241117936,140.55371200832076,164.50026652778956,73.07294153675491,-100.79421241098771,28.862246755632214,-229.32459481089154,49.12500571926114,-29.258484559083513,170.50898947232258,-262.0496006789932,52.23948316537883,-203.59566502633504,-172.5998541156215,-351.079969490723,-432.4789392945063,-309.346863118951,-230.3659407926923,-14.798903339835306,39.964057592413724,-194.60274299979937,11.025375365799732,-218.47645791072773,-211.97643953459715,29.232192097960706,-241.82651214696023,171.65318946173193,-212.72956773936835,-34.515219390497464,-108.55962609095695,103.97244443155512,-195.8023681427004,29.20986826605133,-182.25653998424673,68.44531187172731,-42.31732288137289
biexp,-470.2160957755809,-395.6111973954503,-543.1124551135936,-183.65173410576097,-748.1023836084655,-379.6883448469116,-971.0748502931979,-478.45807415236027,-326.22599842658576,-152.19392977252653,-355.98138144618235,-528.5487686658928,-394.1847458241358,-451.1190631160721,-167.59917394039178,-629.6474132509246,-233.99252744664454,-407.9912574709639,-355.3611067004757,-560.1648088161602,-179.12526661987397,-482.4027464448204,-613.7807569311321,-966.8236385085163,-303.84800369116374,-439.9609330767822,-420.0327413083005,-598.2552276666802,-409.24970166337243,-327.05118209171246,-292.20871450683535,-687.7771245744573,-241.8265121469459,-394.6403207466319,-497.1049920235921,-508.468109829588,-423.08800734200827,-457.49341778979385,-547.9413832174897,-360.95737050733055,-389.1537714559265,-487.79992321748057,-562.4176470491695
bibeki,-314.9025977761662,-414.55456056773755,-533.1587905257663,-174.86181371304974,-579.2043960890302,-371.0975912006545,-963.388190972033,-524.7175160238314,-258.58734571578736,-110.50817323222782,-384.2971134089404,-508.42688369176153,-447.872678851414,-395.2690620842018,-186.43778292879801,-828.0410953611586,-260.28209890900644,-410.21863399719643,-306.45534182132417,-640.9721880994454,-139.5986049941464,-436.93999476476233,-657.1869564313599,-1027.5228219152457,-242.45308714909243,-400.4683558615178,-466.0812508232334,-558.1019864803256,-442.9757559350992,-319.22297544043795,-277.21331002312763,-686.5788384083166,-217.94516043207557,-386.11386831794175,-452.4575437110825,-626.0691538037597,-445.7718589530757,-275.0473659412638,-562.7674348299876,-460.6863472071964,-426.9674474187823,-455.00730260532293,-626.2711282393307
stretch,-250.37620309691488,-387.12680015356636,-507.5201558610545,-174.34244745712647,-647.1329124578084,-341.2432153512161,-908.081419718575,-493.32148732408746,-231.0736878788681,-72.20947250303846,-390.96068798825024,-435.8405992471214,-432.874438374403,-391.24954919060724,-195.32589886656706,-767.1277402777255,-254.99736921835984,-424.3800659968,-245.78305376516448,-571.0337863651495,-168.51148191077039,-408.7476396255847,-631.8464371579985,-759.1660836212295,-246.71570862797466,-285.22553825214084,-418.3906860359075,-538.4783563294757,-421.0580886393516,-317.6425317317721,-274.1758399391058,-619.117977392378,-254.77159843330185,-361.9227500253155,-479.5919683640641,-644.1597873328333,-386.1215343630124,-263.8504907223627,-518.2965253712008,-473.22925270245514,-405.40677113109336,-426.8025352177468,-528.3462636409934
shiftbeki,-262.1809626078111,-395.47851032600875,-529.1072507083384,-174.7716632469835,-579.2043943230971,-357.0101867456651,-963.3881910800751,-502.3905679896361,-252.6936226465872,-99.42843225636375,-384.29711344588156,-469.02921311028217,-446.15435245774086,-394.12481344082175,-186.43778280861056,-808.6314029825376,-260.26204627504694,-410.218633979467,-286.47280042576506,-592.4859160640248,-138.7892356205374,-413.77320627555036,-643.2636518913348,-954.128971786502,-240.42499432810246,-321.559761456965,-440.97477598914384,-548.6250071840304,-441.7707533286364,-318.5981568344512,-273.71703701678234,-686.5788384918444,-217.9451604967379,-367.65749514647973,-452.457543891197,-626.0691537408345,-400.61052010339085,-267.38432730369607,-546.0019109614997,-460.6863471749991,-412.51286216854646,-454.8087810369515,-612.519688513285
expbeki,-397.70666138465845,-418.64388153921277,-579.8430137857251,-194.63791609016027,-763.6631370630325,-375.23071006757186,-981.0981326678352,-531.1659171489769,-334.4011322563164,-158.20986184795288,-386.28753762939766,-539.114691536159,-442.47493732337773,-427.8549536731016,-173.85951123645145,-816.2275198783236,-277.5508745367697,-407.99125748016775,-360.64350689106607,-646.8751708362842,-140.04152726834832,-441.5460313186243,-657.1738329867705,-1062.9356474420258,-242.45298408339363,-436.9119480540493,-493.3962422800739,-592.3238108902171,-439.9756470284253,-319.38292304365314,-277.3498122619551,-729.6399996468722,-218.38664690525854,-482.1332704005056,-387.683386948941,-571.8719404957251,-467.7856992524951,-416.2713916082997,-553.188615395398,-428.9811358539507,-419.3892334282805,-505.94259647622096,-572.5178281409612
