,2015_Chattanooga_shootings,2015_Khan_Bani_Saad_bombing,2015_Suru%C3%A7_bombing,2015_Gurdaspur_attack,2015_Baghdad_market_truck_bombing,2015_Ratchaprasong_bombing,2015_Parramatta_shooting,2015_Ankara_bombings,Trollh%C3%A4ttan_school_attack,"University_of_California,_Merced_stabbing_attack",2015_Beirut_bombings,November_2015_Paris_attacks,2015_Bamako_hotel_attack,December_2015_London_Underground_attack,2015_al-Qamishli_bombings,2016_Pathankot_attack,Zliten_truck_bombing,2016_Jakarta_attacks,Bacha_Khan_University_attack,2016_Dalori_attack,2016_Sayyidah_Zaynab_bombings,Daallo_Airlines_Flight_159,February_2016_Sayyidah_Zaynab_bombings,2016_Grand-Bassam_shootings,March_2016_Ankara_bombing,March_2016_Istanbul_bombing,2016_Brussels_bombings,2016_Lahore_suicide_bombing,11_May_2016_Baghdad_bombings,June_2016_Istanbul_bombing,June_2016_Tel_Aviv_shooting,Orlando_nightclub_shooting,2016_Saudi_Arabia_bombings,2016_shooting_of_Almaty_police_officers,2016_W%C3%BCrzburg_train_attack,2016_Munich_shooting,July_2016_Kabul_bombing,2016_Ansbach_bombing,2016_Normandy_church_attack,2016_Yerevan_hostage_crisis,2016_Charleroi_attack,August_2016_Quetta_attacks,2016_Davao_City_bombing,5_September_2016_Syria_bombings,2016_Uri_attack,Hamam_al-Alil_massacre,German_consulate_in_Mazar-i-Sharif_attack,2016_Khuzdar_bombing,2016_Ohio_State_University_attack,2016_Nagrota_army_base_attack,December_2016_Istanbul_bombings,Botroseya_Church_bombing,2016_Kayseri_bombing,Assassination_of_Andrei_Karlov,Afriqiyah_Airways_Flight_209,January_2017_Baghdad_bombings,2017_Gao_bombing,2017_Parachinar_bombing,Quebec_City_mosque_shooting,2017_Westminster_attack,2017_Saint_Petersburg_Metro_bombing,Palm_Sunday_church_bombings,2017_Jerusalem_Light_Rail_stabbing,2017_Aleppo_suicide_car_bombing,2017_shooting_of_Paris_police_officers,2017_Sukma_attack,Manchester_Arena_bombing,2017_Jakarta_bombings,2017_Minya_attack,Al-Faqma_ice_cream_parlor_bombing,May_2017_Kabul_attack,2017_Notre_Dame_attack,2017_Tehran_attacks,June_2017_Jerusalem_attack,2017_Finsbury_Park_attack,2017_Bishop_International_Airport_incident,June_2017_Pakistan_bombings,2017_Temple_Mount_shooting,2017_Halamish_stabbing_attack,2017_Hamburg_attack,2017_Ouagadougou_attack,2017_Nasiriyah_attacks,2017_Edmonton_attack,2017_Sinai_attack,2017_Peshawar_Agriculture_Directorate_attack,2017_New_York_City_attempted_bombing,2017_Quetta_church_attack,2018_Save_The_Children_Jalalabad_attack,2018_Kabul_ambulance_bombing,2018_Ariel_stabbing,2018_Ouagadougou_attacks,Carcassonne_and_Tr%C3%A8bes_attack,2018_Paris_knife_attack,2018_Peshawar_suicide_bombing,2018_Amsterdam_stabbing_attack,Ahvaz_military_parade_attack,Pittsburgh_synagogue_shooting,2018_Minya_bus_attack,2018_Melbourne_stabbing_attack,Manchester_Victoria_stabbing_attack,2019_Nairobi_hotel_attack,2019_Manbij_bombing,2019_Bogot%C3%A1_car_bombing,Maidan_Shar_attack,2019_Jolo_Cathedral_bombings,2019_Pulwama_attack,Biman_Bangladesh_Airlines_Flight_147,Christchurch_mosque_shootings,2019_Utrecht_shooting,2019_Sri_Lanka_Easter_bombings,Poway_synagogue_shooting,Abha_International_Airport_attack,2019_El_Paso_shooting,B%C3%A6rum_mosque_shooting,17_August_2019_Kabul_bombing,Paris_police_headquarters_stabbing,2019_London_Bridge_stabbing,2019_Jersey_City_shooting,2019_Bagram_Airfield_attack,2020_Streatham_stabbing,Kabul_gurdwara_attack,2020_Afrin_bombing,Pakistan_Stock_Exchange_attack
beki,19.223551316139947,195.01333599666668,86.53333286327165,-21.453846016612715,191.78482292803562,124.97484983556558,-101.91024889437938,188.001443408848,-61.816844832849256,64.51432970787005,-131.00552244450807,-85.4671777438515,-68.13055317701526,-182.89092727140883,-221.75975662911856,-172.8896804805123,-285.6402306065344,-208.11975791798852,-205.55922256512963,-175.55826101527452,-215.2032599183019,-58.982822494487436,-256.68479957552097,-64.7621130003439,29.288915920833915,68.41743119274906,-245.80891090791295,-111.67094399097152,73.57830641343617,78.73841932829498,-169.64562226564567,-7.989593205905976,-214.51664623461875,69.13666294823793,-22.892148286521206,-147.9684122345334,-19.79993985363967,-89.06378821535043,-137.60383958993918,-135.28328441580663,104.07251958520999,19.362932144837373,20.472384175153024,-362.96914592708333,-516.6070792940217,-346.28974756100786,-298.02731884428476,-229.1157402034405,72.32803798062605,-313.945061875753,-41.32601994775746,85.82435017358648,-144.62594079166752,-30.614069537049318,-529.3963563275428,-248.12537743395,42.729730303281485,294.21856415804723,-34.78339121299973,33.25798106761965,-70.93404763675278,-28.868298028240588,-69.23100051658241,72.58006244340982,11.812241343543974,-232.6801420235687,934.6687118711619,-331.5539040394276,-12.362957777311635,-201.42798830821948,-87.46920827421434,-350.38062988225624,-149.7334902462045,-139.41210750946414,35.61237632369341,-95.0162263024132,-191.3982890426837,-91.32682475680895,137.27276111958042,221.00179222438283,77.31402941225303,-208.39532760104464,-39.40952560643609,-305.1988426638321,-380.2783503657846,-295.04454477675154,-301.27611726494115,29.842858211039925,-102.61953203733958,-67.30046875957032,-141.55146459262016,-277.54483716956554,-319.58254696918743,-29.961278261781445,57.9438398158336,-164.04671316185932,-32.83116863879002,-342.1231669227509,-202.11174803167387,211.90989672560363,7.849352707173125,-211.9738062548547,-105.36911774136343,27.731034113667306,-34.839818483231966,-412.93569119024164,-358.8290824850851,-248.28405410201788,201.89851784894984,-292.0598180825093,-177.84919529418312,-75.36893351195056,-220.22011245486624,-77.28139530461249,56.47913420502607,-238.26992406515046,-280.54818016780735,-208.18767586285048,-408.1299487027027,-83.62774543903186,-175.61490394228042,-369.4807670494911,-136.01223185231515
exp,121.24787780794873,311.5651818694645,213.912736445595,96.78418898088603,276.7812433023123,321.5032810656347,-26.302041185695884,251.08125384767095,19.965067098671625,170.09408280348646,130.45361552818315,112.49713809648574,95.47213531752072,-118.41350205830395,36.409095292890015,91.70270680195915,-160.20787311102663,10.389280324852507,92.64332026394152,-49.7121073347771,110.36153881913265,140.55371200832076,-22.603506771924117,145.37933954472715,258.302449460085,185.9579606514411,30.111888864231673,118.00955013818361,241.03703554442347,250.0438595103899,36.341408552966186,-7.866090342213283,45.332402526706005,158.03739590942462,122.07192206580851,45.18453101019543,194.61264814621848,22.581088180758343,5.203018726382993,-12.070836822671595,148.8397065491846,190.00342482350425,180.9220358863081,-65.33211887140885,36.901349043353775,-232.24549496503653,-162.92131688951645,-102.55867236111544,105.94997491820175,-173.9733064481104,228.42710186755448,207.33394928352652,44.33589718883934,88.59580847522591,-314.2180357431736,-94.08026582981051,203.00474968961237,300.5453503191452,163.44608185255413,153.38573434741318,86.339097925577,93.20114511473741,114.37107460541688,316.5972545338276,166.63286181291028,-12.094595758376272,934.6687118711664,-125.46331059865543,146.34586088627827,-76.30062305031902,74.18519409080102,-179.33751502650966,44.07639456990546,-28.823689292333142,139.97035805267535,0.8053257635131104,-4.773796213742912,75.12019435027833,213.1318548866168,292.21575960876044,163.17897828946195,15.33364919953874,99.88467435510938,-93.45521372958308,-88.17261399088238,-85.16148057675173,-120.54884118586392,218.24445482297665,100.96628376645856,91.84359835694625,71.28279092449952,-41.35235796631275,-169.20492403843002,156.74249462748992,135.33351490920722,133.99350299108892,75.36795205876945,-191.03754449731377,-74.05721967697366,280.4627336258111,178.87838087818568,-104.85352548975197,74.67475891073309,229.00772103145107,144.5304164990373,6.637660655566037,-212.72956773936835,-1.4307227934460798,406.06622012139763,-16.0920459288742,-99.28884448608778,-74.87309657637093,52.13541070406495,-20.5188994095912,325.60857650869605,32.52440078466111,-7.15441423163827,55.046469046524635,-180.52596249248063,-33.55958829773863,45.54105409455053,-99.14706142586886,32.84247380953184
biexp,-59.252630346880096,116.54211476027558,-20.06104300328866,-103.97813656702397,68.57013989828806,55.84506523176901,-141.26387332029594,161.86869907036134,-140.1245314440746,18.770998507689683,-295.16495037587094,-154.82573690611594,-296.38587073954,-365.3571931444483,-279.05729097174435,-282.67520706774746,-362.0186902889451,-391.84911504954414,-254.01324924955793,-231.22160818726172,-211.48151893864338,-326.22599842658576,-388.48479982448305,-502.2103442237926,-74.36536626730185,44.16327179443499,-321.9965315954099,-390.19084796176367,-140.10753940286543,86.21049043618643,-230.94231188027152,-7.866090342213283,-380.32782307073376,-109.19118863693359,-234.328182738333,-395.74526912686815,-433.82564784753754,-210.64797841025052,-352.18791729289774,-597.8060156578869,47.22369860614583,-82.63483044915449,-56.13239272758142,-446.51034548722953,-657.6331534882421,-361.1175283138367,-440.29661094315884,-291.7987628322908,48.3078371562076,-414.80060810707596,-150.83385273333636,-101.62885857041545,-143.2920664115362,-133.31462121609434,-971.0748502931979,-263.13911674896895,-127.47222981919356,300.54535039346877,-216.39630637706273,-3.571035920293184,-205.93671857597474,-136.39458375519803,-85.35735358241618,-307.6623762985213,63.69352827061414,-376.38113151207233,931.5320609514215,-594.6554376041456,-374.81073314287414,-284.27081159137765,-404.238843401577,-441.4014022271558,-619.4101800902354,-145.39265875658998,-98.31187918645139,-196.541366798504,-443.0358218932249,-269.6426040256898,46.01229880899632,141.00336864779,-43.68538967784343,-396.9117366647264,-85.56275225564093,-452.79063678787895,-491.41995535921376,-462.20668318985327,-453.61806455209785,85.9601963723037,-450.39145539312517,-67.25714234285522,-413.0184839888576,-446.91218617897187,-416.12790584906224,-91.09854394075774,23.94443938553411,-371.9052417853874,-155.9832777131187,-518.9081748048195,-367.94137333287586,114.97660956575783,-117.96891246106202,-213.65904299479644,-395.7606489752974,-412.05884174358573,-175.96205862772615,-721.0119475296847,-497.1049920235921,-391.7140969050296,28.379972126588655,-586.1047014180801,-272.0039843659529,-116.3866151431838,-436.7154099670631,-194.77555281562184,-196.0670006545107,-255.41625678212813,-317.8467743079258,-330.6629715669894,-404.18508707133924,-220.87068784078087,-244.4936863675067,-394.6468857259572,-203.56857938328835
bibeki,-18.86826896298635,127.54426995919232,26.866253305354235,-53.22570676531984,86.74481439761234,25.42920357508467,-146.48083305270836,169.52858067834325,-161.2653680620615,-11.345158347730376,-263.19571079649984,-153.32044150890192,-265.1835467925855,-361.66362520166103,-261.0318024811145,-319.00609943161487,-321.90267535284613,-408.4901872197196,-344.4283349654904,-216.87039728894672,-248.34640421844915,-258.58734571578736,-360.8389070685424,-472.6709761385057,-52.62496814736062,46.731052767245046,-364.3480622301355,-358.98449930588276,-89.81755537259119,25.63651439059197,-278.4177972504192,-95.58119943167958,-369.40863034197264,-95.91388272463917,-189.7022660732821,-418.6539912218318,-342.79217927597415,-237.1275835196352,-342.68463611832317,-648.2496680313278,88.15311533220097,-31.324231599308632,-72.33512992774263,-530.269372426474,-585.4184788623312,-352.1726244700493,-401.78104903541794,-279.95133264948777,66.92917846181354,-388.99746419517555,-191.01064790520536,-49.14881773404022,-165.9311851577561,-152.0912420239731,-963.388190972033,-269.7066230038099,-110.97501936642618,294.2185654580521,-249.31442039769695,10.23405338779753,-214.14923753908806,-146.7920070209043,-102.36608552847485,-177.90278089894684,9.280229433827003,-402.3553424062519,934.6702629289139,-636.9668898044106,-323.1046324030701,-273.23665643127765,-414.12387221352174,-481.6780306048356,-570.3441959571039,-181.5122169152247,-81.39539149126858,-213.1664753190073,-435.65798963785846,-215.61598807784924,44.62077999181554,146.66169259228172,-31.247769121309716,-428.39884435400825,-87.10379978743151,-632.2440867521933,-553.2909321933313,-505.5359537678205,-407.5606014248315,12.567117005807518,-332.07290763508195,-95.95042617468778,-446.8353391302927,-555.8405614282871,-441.96628644392945,-145.2620838543387,49.95156357287192,-385.67212579061527,-151.21237712643494,-470.92440082279904,-363.9126699530691,108.36888385045029,-156.58808582396193,-245.68266901037896,-398.98289904625733,-278.231357248584,-179.74096111287656,-566.2109920127468,-452.4575437110825,-434.6497458301343,-38.21823815938967,-577.8979872453397,-256.7590384514076,-75.36893349767604,-445.3383898541251,-193.30817970154214,0.31013615749714063,-299.7871441815148,-378.66627906061956,-384.08891509985096,-480.11486180793986,-225.94137183226667,-281.32474601934507,-432.0122627652406,-181.97036417631318
stretch,-15.032201622776483,141.98890277501164,38.3721010615493,-39.18958972718008,137.99641300610176,66.62257134963727,-157.72088450548665,180.9872724465763,-152.22251019926227,-15.171763381784103,-227.7090422007783,-144.52087176592408,-191.53415080612308,-298.1913964241055,-274.19410174919517,-352.05121005102853,-296.55954209964364,-373.4494926402482,-341.42994511805955,-189.01060579687817,-261.99526072070057,-231.0736878788681,-377.67607083588985,-429.0135095945593,-58.993397770255,62.11134986366005,-359.3037498351956,-295.70182080240056,-43.72443423409197,28.938335987884898,-272.10888116042884,-193.6769994924623,-349.81827331128807,-132.00756110691373,-203.7801938431603,-376.5402554627458,-286.6850635105486,-209.08202651550755,-331.4689529503112,-460.68405135124283,107.92813763286881,1.5553837131383261,-84.241348350581,-528.5106528143195,-647.4805323073532,-341.85176777699473,-325.1700591422775,-247.42543977702508,74.81360582542925,-370.15328749623427,-191.45321566249186,-6.641488741117769,-156.77514891839132,-112.93552031635863,-908.081419718575,-251.35911004058835,-50.35671178210043,292.9101125840649,-251.03308386195272,24.65681766105604,-188.5475557522359,-146.6260133134998,-101.46621440413753,-213.4475048381156,14.710172236803828,-421.0641149702427,711.7815937838772,-639.855462214744,-254.34276559980776,-251.35148726020884,-358.3634442599389,-457.1289553697543,-459.9262286230812,-174.17550733062467,-50.014994391489836,-195.30871526271858,-346.0379757281187,-211.9481106958243,40.63237785460831,115.33841393998239,-25.381439006692972,-317.115780450977,-83.25422658613468,-525.5188071115809,-519.4503557373404,-458.70510764314577,-346.47687038715253,16.425747093798122,-257.4903918532616,-87.2221991576074,-354.0370141800014,-518.8013786222929,-399.49328264689416,-134.85206922651798,63.23606211203162,-344.0130628018761,-144.8272088433381,-408.4845051136051,-359.76004442040403,83.8936709398289,-141.99718922445163,-234.5076882518997,-315.3837429388376,-205.35163045084585,-179.86339278088997,-595.5196179157153,-479.5919683640641,-438.45108582113414,-37.66216500388293,-561.0363334312178,-230.8660454626613,-122.30219986973236,-454.3677460860308,-215.0424140173228,19.897593442727953,-291.52215652386803,-388.3968830171874,-379.57955012524553,-468.677228631406,-188.43436413026302,-279.2527906206884,-418.39944768448004,-133.8168567119219
shiftbeki,-17.649603987597857,134.01426176465213,32.35473223903887,-43.30659558901027,112.81883479835267,70.09559049708616,-146.48083304687532,178.94621682149807,-161.2653680680114,-11.34515827766461,-240.6256813268618,-149.0576825808622,-230.6993078278233,-360.09929178567563,-261.0318032296111,-319.0060999436795,-304.3373294968204,-393.90256059834917,-344.4283349664943,-193.98860109207442,-248.34640466939095,-252.6936226465872,-360.8389066349945,-472.6706506842552,-51.62940716186472,58.47955784869009,-363.22338958070407,-326.18168527692364,-56.34145936157029,25.636514395339077,-277.730607107934,-95.58119892322384,-362.12294988875806,-95.91388252082538,-189.70226591061487,-416.39298556829567,-334.70666258608776,-234.00669153570902,-342.6846358767548,-644.7645364247081,104.07251958603149,-2.403278799003374,-72.33512993153965,-530.2693724285483,-585.4184788726685,-346.56866374713593,-332.4083260195007,-252.70408666589992,72.32803798083046,-381.61758757631014,-191.01064803020813,-39.545660726920346,-161.1254010365875,-127.32935149342825,-963.3881910800751,-256.4243937792719,-68.57312537111613,294.2185641580471,-249.3144204134344,22.586666130885874,-202.55483166491445,-146.79200712752504,-102.35902921980903,-177.9027805386969,11.686741920885538,-402.3553422403046,931.5328418914022,-636.9668897424563,-319.0322972096151,-262.7824070062595,-413.3302665505796,-473.0883563230436,-562.0619227716629,-177.88739693672153,-74.49069720151556,-211.56170793663523,-384.5466930315008,-215.61598820892902,44.62077999152939,146.66169308066787,-31.247769197979096,-329.0462478069304,-86.21193132607584,-546.5019782781038,-540.1785405529891,-484.1419933203408,-359.6230257833545,12.567116933200964,-293.9015982358728,-90.41557435790276,-393.8174361019363,-541.6362866378507,-420.44962766239405,-140.79569603394293,57.94306290382133,-360.4079419699209,-151.21237765898297,-436.926756454754,-363.9126701818634,108.36888396606173,-149.22808727775634,-236.53929284451624,-362.31656170004464,-258.83926539315087,-179.74093231536074,-566.0532747917343,-452.457543891197,-434.6497458000189,-38.21463393517445,-577.4606644287448,-251.9745903160781,-75.36893351195056,-445.3383899732312,-193.30817966203642,30.05533457737397,-297.57714918179363,-378.66627893155476,-384.08891508265674,-476.06615823746915,-225.94137181820656,-281.3247460197882,-427.80335576058815,-139.59863201976145
expbeki,-46.857404276056855,108.58470678803201,-7.5747115844776545,-71.6631509343058,70.94102430778969,32.32726740547639,-145.65660176146287,164.65624040738533,-148.7973838952429,6.685494086009385,-305.9799826681218,-153.75401702865747,-299.7117577943627,-362.1328574079332,-280.02677001144275,-292.1892521243543,-333.4870205615558,-431.43019505478776,-348.1071215874997,-226.99276469933704,-249.23671107667792,-334.4011322563164,-388.3091169496357,-522.3607979852034,-89.7285318140855,36.94333555694266,-357.11530919879704,-419.9451148731048,-155.30556467338556,33.36872416042661,-275.6263563670948,-94.00250880346289,-381.56813792879393,-109.1911889394421,-234.2582744032295,-408.4200782962723,-448.3386629608583,-215.8976560448316,-354.60986017292635,-620.2877302296534,84.87250834195913,-67.22711017585243,-66.25289351062702,-479.38370262768274,-715.9382445180764,-351.2851858553828,-412.5476649555985,-285.998401293072,66.33428015860511,-415.8019044538901,-160.21313372505563,-91.45831837465414,-167.45696086982764,-154.61277470583514,-981.0981326678352,-275.0150829126251,-142.65451541086907,292.14502039634453,-235.94175157138602,3.431639097040261,-223.5505638257314,-159.61805125597164,-108.69993638519361,-324.31981860799135,8.663386252652344,-397.03218487105653,931.5320609514215,-604.4247666238275,-382.92715297923473,-280.90092645315303,-417.26644379593677,-458.1835362938582,-621.3912815073468,-181.16288611496032,-96.75504439866154,-204.24320295653683,-489.64132926854063,-261.926789894546,45.02931152838198,141.00336865862982,-43.17179109789322,-487.00160645099857,-99.284460651475,-588.7319985444827,-538.6674743213047,-502.38987427557026,-410.0185538130727,16.60691382330799,-448.7850476447966,-95.94852510694784,-498.82834553623945,-518.9593997052212,-438.9514329295848,-111.99098295994702,44.25781041666312,-459.45406230934907,-155.5244387748386,-508.7437350765979,-369.16217134254566,114.97660972848144,-134.01954326826387,-252.04272025115324,-449.62704177036665,-413.87246062929137,-198.38269148393294,-694.2243955341812,-387.683386948941,-426.21686903728494,-15.801911922954673,-607.6136945139733,-262.0755622864019,-75.36893338503569,-488.78939539884004,-194.77555281297066,-112.58125407549096,-315.88418425744794,-346.3849919970784,-340.0327144733976,-477.0604822469543,-220.0356403280457,-270.58638116184045,-422.8701611937422,-196.240130569553
