,2015_Illapel_earthquake,2016_Taiwan_earthquake,2016_Sumatra_earthquake,2016_Afghanistan_earthquake,2016_Kumamoto_earthquakes,2016_Ecuador_earthquake,August_2016_Myanmar_earthquake,2016_Kaikoura_earthquake,2016_Aceh_earthquake,January_2017_Central_Italy_earthquakes,2017_Surigao_earthquake,2017_Leyte_earthquake,2017_Aegean_Sea_earthquake,2017_Jiuzhaigou_earthquake,2017_Ischia_earthquake,2017_Chiapas_earthquake,2017_Central_Mexico_earthquake,2017_Iran%E2%80%93Iraq_earthquake,2018_Swan_Islands_earthquake,2018_Hualien_earthquake,2018_Oaxaca_earthquake,2018_Papua_New_Guinea_earthquake,2018_Osaka_earthquake,2018_Hokkaido_Eastern_Iburi_earthquake,2018_Sulawesi_earthquake_and_tsunami,2018_Haiti_earthquake,2018_Anchorage_earthquake,2019_Luzon_earthquake,2019_Peru_earthquake,2019_Albania_earthquake,2019_Davao_del_Sur_earthquake,2020_Elaz%C4%B1%C4%9F_earthquake,2020_Caribbean_earthquake,2020_Oaxaca_earthquake
beki,-208.8005458084591,-172.50545484720215,3.11486363224094,-199.57409648497958,-348.25030593272663,-297.94463498414746,-186.92906655499496,-228.02943444150776,-76.77099115403189,-257.89607674736203,-62.70578251404504,-76.84933537922075,-138.09014446725303,-247.8379682614758,-132.24184060219977,-226.31850901574,-376.0856071441473,-163.61555588754482,-76.73560689457429,-154.60935821983423,-229.13782553524675,-191.488579697383,-272.7582414878825,-184.82326516550336,-197.53415271784127,-291.5087993491901,-312.91137661195694,47.314167963456725,-191.23793117779474,-289.2257356578119,108.4829150208518,65.86524258661575,-231.64702155833425,-154.30265638504795
exp,9.793695864817437,56.80003797239135,47.559297086876995,-57.07978754456724,-16.290610919301002,38.68729195641731,15.39802066999107,61.61809284286892,172.61121465819042,-59.647380102723105,116.67550214393646,7.300080293340102,61.11499896728037,42.44998188727379,50.18223814576527,130.98869728236286,-41.73081838505129,73.43181878843791,78.72049683280454,104.6632263333795,-81.48642117582779,58.83206474797919,-79.71782839667185,63.41357835765939,-44.65246837522909,-93.65543526506042,-95.0869109857781,140.07181976989057,-148.0543043968778,46.88371630888673,235.48909001487584,208.98613328399847,-62.54194015129917,-54.48676411171266
biexp,-389.37282024628087,-168.53898057212473,-38.34636788905016,-231.29887508598983,-412.13311885985877,-411.7410705926676,-255.7705588235467,-464.27701032770176,-214.47694621204278,-361.9623167779321,-179.77265419357684,-113.30014872152253,-162.17419037467732,-356.381775769153,-155.26978157887595,-377.0609614719575,-415.9069234536122,-452.9810806545905,-92.57670968216212,-264.87864750017695,-434.67333399873814,-312.468851827049,-333.901717969291,-449.8034923363474,-198.12962696228658,-248.50576112260921,-351.4807467859175,-173.6704872228671,-289.17130203990337,-314.46250012429766,32.51825059680266,-43.28562727128508,-380.30682999904957,-234.7512829751006
bibeki,-372.33426377884996,-196.55838151077023,-45.046434974259796,-209.42354279741164,-453.4878766363256,-442.3551038464917,-218.68722880416294,-358.4739809889039,-264.84998371089955,-349.88880271903145,-145.51202312258204,-76.84933537421716,-192.5954062805024,-386.80899432067383,-182.41661408695336,-340.2024698256854,-405.78830718273946,-389.2742751982506,-125.37419983467282,-324.8136847598313,-441.76516604441485,-370.1832507223902,-332.81921172983175,-370.927142811276,-198.52506354473678,-291.5087993441131,-379.87151632010546,-113.87393832268958,-272.54249183595016,-309.76108796826395,70.45126948621566,-87.99526018065683,-435.09717602938986,-215.03542328892013
stretch,-318.14444451254496,-195.42447974459628,-53.2345367894784,-195.68327697933648,-445.9358469989072,-456.1937249166757,-205.7951478923967,-373.56240542292255,-245.73623827430515,-334.00534334058125,-176.45559237594568,-74.82192831338239,-182.46114515410545,-307.41996733504413,-182.4273506084212,-334.5212691055948,-398.43164392436813,-309.505179948192,-121.13206681523741,-308.51151552764475,-434.3106311511792,-362.5036351887421,-325.4065054150183,-347.1241706884256,-191.62923017384048,-288.983538922863,-362.7051564977892,-115.62691604679435,-251.10432502867639,-279.76920083194716,57.80852417638755,-101.40262627283414,-386.1214142489182,-176.74335187797647
shiftbeki,-337.72140706853327,-196.5583815091752,-45.04643497423194,-201.92920105335577,-451.5057639954771,-442.3551039712794,-209.52310785656232,-358.23303502785836,-254.87777759893925,-344.1378009241057,-145.51202313513477,-76.84933537922063,-188.31075932721774,-314.00813514718914,-182.4166140599732,-332.95712732037384,-402.60395741980676,-333.1983732909192,-124.57180720249823,-316.7180680241785,-441.7651660014676,-369.6217619218786,-330.541298530909,-361.49978130348734,-197.67459799604637,-291.5087993491892,-370.3252660719909,-113.87393561918236,-272.4645782395446,-296.4720941585498,70.4512697287347,-87.99526018234155,-414.1667701744384,-184.90271687610448
expbeki,-419.50879207382366,-203.06820699402488,-40.18653594929049,-216.22361420901177,-465.5246490213242,-429.6525671513922,-237.13824722471418,-452.9826766589589,-276.63010130715566,-375.3650696235902,-179.55085168743096,-76.84933537922075,-203.97919200337992,-422.5196630157244,-157.50579183382763,-386.21338368279237,-433.3379063038541,-474.52406808476997,-112.6751261528924,-330.02882465272444,-444.56897954810006,-377.1654533248551,-332.9141721309238,-464.3010842182888,-201.85601925074218,-292.13748021293907,-381.8023835849808,-173.60725495546444,-284.55884973197067,-341.5156744738532,98.88972459078252,-65.76310066301858,-419.1620194195523,-216.30914562739895
