,2015_Bangkok_bombing,2015_Chattanooga_shootings,Umpqua_Community_College_shooting,June_2016_Tel_Aviv_shooting,2016_shooting_of_Almaty_police_officers,Botroseya_Church_bombing,August_2016_Gaziantep_bombing,July_2016_Kabul_bombing,Orlando_nightclub_shooting,Sagamihara_stabbings,Al-Faqma_ice_cream_parlor_bombing,Manchester_Arena_bombing,2017_Nasiriyah_attacks,2017_Peshawar_Agriculture_Directorate_attack,Quebec_City_mosque_shooting,2017_Quetta_church_attack,2017_Sinai_mosque_attack,Sutherland_Springs_church_shooting,2017_Tehran_attacks,Ahvaz_military_parade_attack,Campinas_Cathedral_shooting,Carcassonne_and_Tr%C3%A8bes_attack,2018_Minya_bus_attack,2018_M%C3%BCnster_attack,2018_Ouagadougou_attacks,2018_Strasbourg_attack,Thousand_Oaks_shooting,Toronto_van_attack,2019_Altamira_prison_riot,"Aurora,_Illinois_shooting",2019_Dayton_shooting,2019_Jolo_Cathedral_bombings,17_August_2019_Kabul_bombing,Paris_police_headquarters_stabbing,2019_Sri_Lanka_Easter_bombings,Kabul_gurdwara_attack,Pakistan_Stock_Exchange_attack
beki,-295.7240385375262,19.223551316139947,-177.59176087728952,-169.64562226564567,69.13666294823793,85.82435017358648,93.82720791240308,-19.79993985363967,-7.989593205905976,-83.6130925467495,-201.42798830821948,934.6687118711619,-208.39532760104464,-380.2783503657846,-34.78339121299973,-301.27611726494115,-146.6057601922671,130.00984358467713,-149.7334902462045,-164.04671316185932,57.67970719909101,-277.54483716956554,-342.1231669227509,12.264783165735594,-141.55146459262016,-130.6896121397359,-203.6600209624953,-238.7116523186237,161.27215126115584,-55.20724796039622,-184.7404717495035,-34.839818483231966,56.47913420502607,-238.26992406515046,-292.0598180825093,-175.61490394228042,-136.01223185231515
exp,-40.24980104571671,121.24787780794873,69.58622348869574,36.341408552966186,158.03739590942462,207.33394928352652,256.2816806202111,194.61264814621848,-7.866090342213283,157.50081287878731,-76.30062305031902,934.6687118711664,15.33364919953874,-88.17261399088238,163.44608185255413,-120.54884118586392,76.3722215017849,168.8543305890496,44.07639456990546,133.99350299108892,150.15159168513105,-41.35235796631275,-191.03754449731377,140.9978863475999,71.28279092449952,161.06388712910643,-88.45979629149485,-36.8297512508899,341.98196739718196,45.63766204415458,84.73715568352384,144.5304164990373,325.60857650869605,32.52440078466111,-16.0920459288742,45.54105409455053,32.84247380953184
biexp,-421.2455204488076,-59.252630346880096,-207.66763062372775,-230.94231188027152,-109.19118863693359,-101.62885857041545,-49.62845702230959,-433.82564784753754,-7.866090342213283,-380.40721650347757,-284.27081159137765,931.5320609514215,-396.9117366647264,-491.41995535921376,-216.39630637706273,-453.61806455209785,-502.4259785846456,28.281098583200674,-619.4101800902354,-371.9052417853874,-48.6435352226772,-446.91218617897187,-518.9081748048195,-77.5607227743103,-413.0184839888576,-344.5585600542305,-306.44700906697267,-424.3530880026308,-269.72086954358906,-104.97870616867147,-473.98666142786806,-175.96205862772615,-196.0670006545107,-255.41625678212813,-586.1047014180801,-244.4936863675067,-203.56857938328835
bibeki,-344.98724316953576,-18.86826896298635,-250.6962123848391,-278.4177972504192,-95.91388272463917,-49.14881773404022,-8.028516488392825,-342.79217927597415,-95.58119943167958,-457.01308492778355,-273.23665643127765,934.6702629289139,-428.39884435400825,-553.2909321933313,-249.31442039769695,-407.5606014248315,-369.3570623807485,51.18740792672372,-570.3441959571039,-385.67212579061527,-63.86010639624192,-555.8405614282871,-470.92440082279904,-94.7903756593098,-446.8353391302927,-348.92152892918773,-311.1388574410307,-445.57230227892705,-120.03187899651903,-114.41556791482913,-485.08337236671787,-179.74096111287656,0.31013615749714063,-299.7871441815148,-577.8979872453397,-281.32474601934507,-181.97036417631318
stretch,-333.3009187510595,-15.032201622776483,-251.5907055178884,-272.10888116042884,-132.00756110691373,-6.641488741117769,40.19586071395577,-286.6850635105486,-193.6769994924623,-472.56797995592785,-251.35148726020884,711.7815937838772,-317.115780450977,-519.4503557373404,-251.03308386195272,-346.47687038715253,-298.05090902756126,78.86281749421471,-459.9262286230812,-344.0130628018761,-52.362428482660334,-518.8013786222929,-408.4845051136051,-103.22203745723982,-354.0370141800014,-341.4794429461339,-304.31912063891923,-432.0285497909265,-68.18540185941879,-107.24887184839326,-525.2323359238612,-179.86339278088997,19.897593442727953,-291.52215652386803,-561.0363334312178,-279.2527906206884,-133.8168567119219
shiftbeki,-338.0236289518334,-17.649603987597857,-250.6962123834296,-277.730607107934,-95.91388252082538,-39.545660726920346,33.670184980969225,-334.70666258608776,-95.58119892322384,-457.013084888301,-262.7824070062595,931.5328418914022,-329.0462478069304,-540.1785405529891,-249.3144204134344,-359.6230257833545,-333.45831401706516,51.18740726566239,-562.0619227716629,-360.4079419699209,-63.83130048541,-541.6362866378507,-436.926756454754,-94.79037533981875,-393.8174361019363,-342.5339909783405,-311.1388442768364,-445.5717560299886,-114.16376012284309,-113.10989505798761,-485.08337162090265,-179.74093231536074,30.05533457737397,-297.57714918179363,-577.4606644287448,-281.3247460197882,-139.59863201976145
expbeki,-398.1261449272595,-46.857404276056855,-246.172925254662,-275.6263563670948,-109.1911889394421,-91.45831837465414,-42.80857893321445,-448.3386629608583,-94.00250880346289,-448.16212887121026,-280.90092645315303,931.5320609514215,-487.00160645099857,-538.6674743213047,-235.94175157138602,-410.0185538130727,-476.90934985343085,34.82873013630058,-621.3912815073468,-459.45406230934907,-53.39867281777197,-518.9593997052212,-508.7437350765979,-49.826444006799875,-498.82834553623945,-347.8913148144517,-316.11608493772314,-440.87996499437327,-267.59426881531704,-111.024509111376,-502.60395760525057,-198.38269148393294,-112.58125407549096,-315.88418425744794,-607.6136945139733,-270.58638116184045,-196.240130569553
