,2015_Attock_bombing,2015_Bangkok_bombing,2015_Chattanooga_shootings,Metrojet_Flight_9268,November_2015_Kidal_attack,2015_Spanish_Embassy_attack_in_Kabul,Umpqua_Community_College_shooting,June_2016_Tel_Aviv_shooting,July_2016_Qamishli_bombings,2016_shooting_of_Almaty_police_officers,American_University_of_Afghanistan_attack,Botroseya_Church_bombing,August_2016_Gaziantep_bombing,July_2016_Kabul_bombing,September_2016_Kabul_attacks,Kunduz-Takhar_highway_hostage_crisis,2016_Nampala_attack,Orlando_nightclub_shooting,Sagamihara_stabbings,2016_Thane_stabbing,%C5%BDiti%C5%A1te_shooting,Al-Faqma_ice_cream_parlor_bombing,2017_Amarnath_Yatra_attack,2017_Jerusalem_truck_attack,2017_Las_Vegas_shooting,Manchester_Arena_bombing,2017_Nasiriyah_attacks,2017_Peshawar_Agriculture_Directorate_attack,2017_Plano_shooting,Quebec_City_mosque_shooting,2017_Quetta_church_attack,2017_Sinai_mosque_attack,Sutherland_Springs_church_shooting,2017_Tehran_attacks,Ahvaz_military_parade_attack,Campinas_Cathedral_shooting,Carcassonne_and_Tr%C3%A8bes_attack,"2018_attack_on_the_High_National_Elections_Commission_in_Tripoli,_Libya",September_2018_Kabul_attacks,Kerch_Polytechnic_College_massacre,2018_Minya_bus_attack,2018_M%C3%BCnster_attack,Osmington_shooting,2018_Ouagadougou_attacks,2018_Strasbourg_attack,2018_Sunjuwan_attack,Thousand_Oaks_shooting,Toronto_van_attack,2019_Altamira_prison_riot,"Aurora,_Illinois_shooting",2019_Cairo_bombing,Coatzacoalcos_nightclub_fire,2019_Dayton_shooting,2019_Jolo_Cathedral_bombings,17_August_2019_Kabul_bombing,28_July_2019_Kabul_suicide_bombing,December_2019_Mogadishu_bombing,Paris_police_headquarters_stabbing,2019_Qalat_bombing,2019_Sri_Lanka_Easter_bombings,Suzano_school_shooting,2019_Tripoli_shooting,Zaoyang_car_attack,2020_Afgooye_bombing,Hanau_shootings,Kabul_gurdwara_attack,Pakistan_Stock_Exchange_attack
285,8.0,137,294,402,3,14.0,396,24,9,6,11.0,26.0,14,18,9.0,11.0,7.0,60,90,13,7,18,85.0,20.0,7474.0,1455,14,5,70.0,243.0,8,55.0,693,115,30.0,7,95,13,12.0,213,19,168.0,70.0,28.0,64.0,18.0,684.0,375.0,10.0,102.0,2.0,2.0,428,91,7.0,1.0,20,53,4.0,724,46.0,11.0,3,12.0,183.0,25,9
286,11.0,134,216,375,0,26.0,353,35,10,7,15.0,27.0,16,23,11.0,26.0,2.0,125,106,14,3,18,73.0,18.0,5789.0,1778,12,8,51.0,175.0,3,61.0,607,118,48.0,11,84,23,16.0,163,14,104.0,107.0,19.0,57.0,16.0,638.0,460.0,10.0,76.0,4.0,0.0,437,106,6.0,1.0,12,19,1.0,673,86.0,4.0,3,18.0,341.0,27,6
287,11.0,198,245,365,5,10.0,338,29,10,7,11.0,26.0,14,19,8.0,30.0,13.0,78,93,7,1,12,50.0,19.0,5716.0,1456,13,5,51.0,192.0,8,57.0,641,115,30.0,6,67,21,12.0,164,19,37.0,78.0,20.0,66.0,30.0,548.0,555.0,6.0,74.0,4.0,4.0,494,129,10.0,2.0,14,24,1.0,824,65.0,2.0,5,8.0,198.0,21,12
288,2.0,145,229,340,3,9.0,418,38,15,11,16.0,25.0,39,12,9.0,22.0,11.0,81,92,28,0,10,88.0,27.0,5296.0,1419,13,6,39.0,237.0,9,52.0,713,97,39.0,5,57,13,11.0,131,16,29.0,46.0,16.0,61.0,32.0,554.0,596.0,8.0,62.0,6.0,13.0,491,159,7.0,0.0,22,28,1.0,764,61.0,3.0,4,10.0,132.0,21,10
289,7.0,166,163,391,1,10.0,304,35,8,17,14.0,22.0,27,10,10.0,18.0,10.0,71,84,10,2,15,57.0,34.0,13238.0,1392,12,11,30.0,253.0,6,47.0,666,116,28.0,9,45,15,15.0,119,19,18.0,61.0,18.0,73.0,47.0,487.0,553.0,9.0,200.0,4.0,6.0,398,149,4.0,1.0,18,19,1.0,763,95.0,8.0,7,6.0,134.0,21,17
290,8.0,178,198,431,2,17.0,377,23,7,9,11.0,28.0,32,16,11.0,23.0,8.0,75,59,17,5,10,47.0,23.0,12964.0,1418,13,7,34.0,252.0,4,66.0,750,97,16.0,5,60,12,12.0,193,20,41.0,48.0,15.0,71.0,28.0,434.0,535.0,15.0,181.0,6.0,6.0,449,159,2.0,4.0,22,23,0.0,801,74.0,3.0,6,38.0,112.0,15,18
291,8.0,160,255,381,1,21.0,442,27,13,14,7.0,26.0,37,19,10.0,16.0,7.0,75,106,14,2,9,45.0,20.0,8041.0,1413,11,9,60.0,209.0,6,72.0,1635,121,27.0,11,75,14,13.0,559,21,16.0,60.0,15.0,63.0,32.0,501.0,588.0,14.0,127.0,7.0,9.0,446,116,7.0,1.0,28,25,0.0,814,64.0,10.0,4,9.0,120.0,15,11
292,13.0,156,223,356,8,20.0,386,27,14,9,19.0,18.0,21,15,12.0,16.0,9.0,56,87,14,4,11,33.0,15.0,5751.0,1087,11,7,64.0,140.0,3,48.0,986,110,33.0,6,72,13,15.0,442,16,20.0,52.0,28.0,64.0,15.0,502.0,601.0,9.0,170.0,6.0,4.0,423,87,6.0,6.0,30,25,0.0,822,61.0,6.0,9,11.0,116.0,18,13
293,9.0,171,248,386,1,20.0,330,21,15,17,10.0,26.0,40,14,8.0,13.0,6.0,43,142,9,12,10,47.0,28.0,5620.0,1303,13,17,44.0,117.0,6,45.0,765,98,32.0,6,57,16,15.0,370,20,16.0,45.0,15.0,60.0,15.0,447.0,485.0,15.0,117.0,6.0,4.0,438,91,12.0,5.0,10,23,1.0,808,59.0,5.0,3,11.0,152.0,13,7
294,9.0,159,215,341,7,16.0,337,20,14,13,9.0,28.0,21,14,13.0,21.0,7.0,61,111,16,3,10,42.0,20.0,5408.0,1623,12,5,32.0,140.0,8,53.0,1514,119,27.0,4,56,17,11.0,337,14,16.0,49.0,11.0,63.0,12.0,545.0,498.0,17.0,158.0,2.0,9.0,440,134,5.0,1.0,16,8,1.0,902,55.0,9.0,8,3.0,116.0,14,7
295,3.0,166,194,378,3,18.0,329,38,20,10,7.0,36.0,12,17,8.0,20.0,9.0,77,124,23,4,23,61.0,25.0,7039.0,1567,16,7,36.0,203.0,6,55.0,2100,92,33.0,10,41,23,17.0,310,15,12.0,35.0,11.0,67.0,38.0,527.0,567.0,17.0,111.0,8.0,5.0,487,169,10.0,4.0,26,13,4.0,759,66.0,5.0,6,8.0,150.0,35,7
296,5.0,181,227,424,5,15.0,386,19,14,9,13.0,27.0,20,24,11.0,20.0,5.0,54,132,21,7,16,56.0,75.0,6676.0,1483,12,10,32.0,183.0,0,53.0,1424,101,23.0,8,52,13,10.0,247,14,18.0,124.0,13.0,115.0,21.0,420.0,455.0,7.0,74.0,10.0,8.0,509,167,5.0,2.0,22,21,1.0,751,41.0,10.0,3,7.0,89.0,16,7
297,8.0,226,200,419,6,16.0,365,26,21,2,7.0,33.0,36,20,10.0,20.0,4.0,70,121,20,5,17,43.0,434.0,4957.0,4778,13,10,42.0,190.0,4,51.0,1113,82,27.0,9,68,20,13.0,215,20,16.0,44.0,9.0,91.0,24.0,498.0,475.0,14.0,114.0,7.0,3.0,671,144,16.0,1.0,17,26,1.0,689,90.0,7.0,6,13.0,134.0,20,32
298,8.0,219,240,404,3,23.0,398,84,16,13,22.0,27.0,12,25,5.0,16.0,7.0,60,88,15,6,15,50.0,134.0,4857.0,2260,13,10,33.0,163.0,4,61.0,924,102,24.0,5,51,13,17.0,237,19,19.0,86.0,14.0,107.0,29.0,1102.0,509.0,10.0,124.0,4.0,7.0,705,127,4.0,5.0,16,26,2.0,811,47.0,13.0,4,14.0,106.0,15,15
299,6.0,147,262,380,4,16.0,367,31,17,5,10.0,34.0,15,18,9.0,22.0,9.0,56,78,17,1,13,41.0,81.0,5150.0,1449,13,8,45.0,364.0,7,81.0,860,101,45.0,6,76,18,19.0,209,19,22.0,130.0,12.0,100.0,28.0,917.0,411.0,14.0,128.0,1.0,4.0,710,99,4.0,1.0,15,25,2.0,798,61.0,8.0,6,19.0,202.0,65,9
