,2015_Attock_bombing,2015_Bangkok_bombing,2015_Chattanooga_shootings,Metrojet_Flight_9268,November_2015_Kidal_attack,2015_Spanish_Embassy_attack_in_Kabul,Umpqua_Community_College_shooting,June_2016_Tel_Aviv_shooting,July_2016_Qamishli_bombings,2016_shooting_of_Almaty_police_officers,American_University_of_Afghanistan_attack,Botroseya_Church_bombing,August_2016_Gaziantep_bombing,July_2016_Kabul_bombing,September_2016_Kabul_attacks,Kunduz-Takhar_highway_hostage_crisis,2016_Nampala_attack,Orlando_nightclub_shooting,Sagamihara_stabbings,2016_Thane_stabbing,%C5%BDiti%C5%A1te_shooting,Al-Faqma_ice_cream_parlor_bombing,2017_Amarnath_Yatra_attack,2017_Jerusalem_truck_attack,2017_Las_Vegas_shooting,Manchester_Arena_bombing,2017_Nasiriyah_attacks,2017_Peshawar_Agriculture_Directorate_attack,2017_Plano_shooting,Quebec_City_mosque_shooting,2017_Quetta_church_attack,2017_Sinai_mosque_attack,Sutherland_Springs_church_shooting,2017_Tehran_attacks,Ahvaz_military_parade_attack,Campinas_Cathedral_shooting,Carcassonne_and_Tr%C3%A8bes_attack,"2018_attack_on_the_High_National_Elections_Commission_in_Tripoli,_Libya",September_2018_Kabul_attacks,Kerch_Polytechnic_College_massacre,2018_Minya_bus_attack,2018_M%C3%BCnster_attack,Osmington_shooting,2018_Ouagadougou_attacks,2018_Strasbourg_attack,2018_Sunjuwan_attack,Thousand_Oaks_shooting,Toronto_van_attack,2019_Altamira_prison_riot,"Aurora,_Illinois_shooting",2019_Cairo_bombing,Coatzacoalcos_nightclub_fire,2019_Dayton_shooting,2019_Jolo_Cathedral_bombings,17_August_2019_Kabul_bombing,28_July_2019_Kabul_suicide_bombing,December_2019_Mogadishu_bombing,Paris_police_headquarters_stabbing,2019_Qalat_bombing,2019_Sri_Lanka_Easter_bombings,Suzano_school_shooting,2019_Tripoli_shooting,Zaoyang_car_attack,2020_Afgooye_bombing,Hanau_shootings,Kabul_gurdwara_attack,Pakistan_Stock_Exchange_attack
17,34.0,2362,2967,51891,12,46.0,3652,63,257,20,41.0,80.0,127,105,46.0,76.0,10.0,68,367,20,16,44,122.0,63.0,22254.0,26,41,101,215.0,1174.0,33,290.0,1607,314,256.0,18,285,40,53.0,445,49,597.0,181.0,86.0,393.0,58.0,1097.0,2565.0,58.0,274.0,26.0,19.0,3843,455,4564.0,26.0,122,103,28.0,5639,148.0,15.0,21,28.0,281.0,310,102
18,36.0,1598,2355,54082,7,50.0,3532,76,302,20,24.0,82.0,98,100,44.0,57.0,22.0,63,299,16,13,44,123.0,57.0,20211.0,20,77,64,185.0,1053.0,26,213.0,1327,268,218.0,15,222,38,41.0,480,70,282.0,170.0,53.0,484.0,54.0,1399.0,2078.0,55.0,357.0,42.0,16.0,3626,347,383.0,25.0,71,107,28.0,4870,160.0,23.0,18,27.0,204.0,200,88
19,27.0,1114,2064,34710,4,46.0,3384,74,252,10,28.0,80.0,114,89,42.0,55.0,13.0,41,281,50,7,39,114.0,67.0,16664.0,18,72,52,163.0,936.0,31,214.0,1238,230,279.0,14,239,26,45.0,375,37,191.0,246.0,79.0,391.0,49.0,1540.0,2118.0,43.0,409.0,26.0,23.0,2786,293,223.0,18.0,52,174,23.0,4248,189.0,15.0,19,24.0,221.0,189,71
20,24.0,1284,1741,22120,5,28.0,2882,95,221,15,20.0,74.0,103,90,44.0,69.0,17.0,49,388,24,15,42,124.0,48.0,13397.0,16,69,40,203.0,736.0,23,220.0,1138,282,267.0,24,219,27,31.0,438,41,186.0,156.0,78.0,399.0,38.0,2057.0,1874.0,46.0,694.0,28.0,11.0,2187,254,179.0,14.0,67,138,26.0,3945,179.0,12.0,2,22.0,164.0,128,74
21,38.0,1522,1113,10369,3,66.0,2564,174,176,18,19.0,110.0,64,98,35.0,40.0,28.0,57,330,9,63,46,127.0,54.0,13791.0,17,74,53,136.0,737.0,25,187.0,1403,202,203.0,17,198,28,41.0,375,79,91.0,198.0,171.0,399.0,36.0,1805.0,1761.0,52.0,496.0,28.0,18.0,2870,377,121.0,67.0,89,90,14.0,4039,306.0,15.0,6,29.0,232.0,112,68
22,43.0,1651,793,9246,7,30.0,4019,133,323,13,18.0,72.0,88,96,37.0,40.0,28.0,62,395,15,28,34,128.0,143.0,15778.0,15,56,38,3724.0,804.0,29,138.0,1443,252,235.0,12,179,29,31.0,413,42,88.0,263.0,118.0,417.0,51.0,1115.0,1320.0,84.0,319.0,30.0,14.0,4767,379,268.0,58.0,85,89,17.0,4593,171.0,20.0,11,32.0,228.0,103,66
23,42.0,1389,699,10269,9,32.0,1441,82,272,28,21.0,79.0,80,88,36.0,70.0,14.0,56,254,20,24,36,184.0,125.0,17423.0,26,59,27,3227.0,847.0,24,234.0,1392,243,242.0,16,198,33,28.0,481,38,71.0,234.0,78.0,357.0,206.0,940.0,1279.0,43.0,276.0,17.0,10.0,2752,412,187.0,40.0,89,97,18.0,4907,139.0,22.0,6,13.0,199.0,104,65
24,27.0,1077,718,6835,5,56.0,1659,75,233,16,25.0,75.0,71,106,63.0,50.0,10.0,41,268,14,21,30,124.0,63.0,17618.0,13,47,42,1598.0,797.0,33,204.0,1519,204,233.0,15,220,27,28.0,473,39,39.0,205.0,67.0,285.0,138.0,752.0,1297.0,30.0,289.0,27.0,14.0,2110,314,136.0,37.0,85,102,24.0,4322,140.0,12.0,6,29.0,158.0,117,64
25,22.0,913,716,2860,12,63.0,2026,110,218,17,11.0,95.0,84,79,42.0,52.0,9.0,32,260,24,23,29,90.0,49.0,15094.0,22,49,30,1054.0,594.0,28,165.0,2272,216,269.0,8,177,38,43.0,352,32,42.0,197.0,71.0,318.0,51.0,860.0,1763.0,26.0,241.0,27.0,13.0,1767,430,140.0,42.0,60,139,25.0,4174,158.0,19.0,7,20.0,154.0,104,77
26,29.0,889,886,2373,9,45.0,1743,632,239,15,19.0,83.0,64,71,29.0,53.0,24.0,77,380,18,16,31,125.0,55.0,9702.0,11,64,32,640.0,559.0,28,267.0,1427,143,231.0,11,183,27,18.0,439,40,39.0,192.0,44.0,387.0,51.0,870.0,1535.0,31.0,238.0,27.0,7.0,1536,268,115.0,21.0,89,111,16.0,3518,233.0,14.0,5,20.0,134.0,110,44
27,24.0,871,865,1812,4,32.0,1563,235,211,12,15.0,70.0,83,66,30.0,60.0,11.0,23,375,18,11,30,1060.0,52.0,8206.0,9,46,45,396.0,574.0,17,209.0,1012,154,186.0,14,167,35,22.0,319,44,49.0,230.0,64.0,401.0,37.0,827.0,1469.0,31.0,225.0,26.0,9.0,2021,197,77.0,23.0,94,109,20.0,2636,187.0,17.0,14,17.0,132.0,82,54
28,28.0,1210,694,1697,6,37.0,1580,184,208,16,24.0,64.0,47,55,45.0,65.0,14.0,38,332,14,8,33,250.0,49.0,8584.0,11,58,44,378.0,519.0,27,235.0,1056,185,175.0,9,141,41,40.0,323,36,38.0,170.0,50.0,405.0,39.0,987.0,1519.0,24.0,694.0,27.0,11.0,4167,182,73.0,22.0,49,108,16.0,2580,127.0,15.0,11,11.0,142.0,126,45
29,17.0,897,648,1923,6,42.0,1275,137,146,23,19.0,86.0,84,70,51.0,64.0,27.0,37,317,19,7,20,150.0,44.0,10024.0,13,53,34,275.0,616.0,26,181.0,1270,167,148.0,8,141,22,24.0,326,38,48.0,138.0,38.0,302.0,44.0,1090.0,1480.0,31.0,522.0,26.0,7.0,2679,233,65.0,20.0,70,184,21.0,2876,146.0,61.0,11,29.0,167.0,87,47
30,33.0,764,728,2057,11,40.0,906,113,111,16,19.0,80.0,91,75,36.0,63.0,14.0,37,335,19,10,29,107.0,61.0,13238.0,11,56,44,279.0,566.0,31,134.0,1598,195,199.0,13,182,42,17.0,733,33,40.0,168.0,36.0,322.0,51.0,1518.0,1408.0,29.0,483.0,42.0,12.0,2243,235,72.0,19.0,66,124,23.0,3284,130.0,25.0,15,17.0,192.0,51,40
31,21.0,743,1105,2740,6,47.0,1166,76,125,13,9.0,630.0,63,73,38.0,96.0,7.0,35,459,13,22,29,128.0,38.0,20591.0,9,53,36,222.0,667.0,24,152.0,1427,151,219.0,10,247,23,26.0,412,33,38.0,149.0,48.0,299.0,29.0,1491.0,1209.0,30.0,484.0,22.0,9.0,2004,165,204.0,21.0,74,99,14.0,3003,113.0,70.0,24,17.0,142.0,89,42
32,19.0,1054,1090,2077,7,39.0,1763,75,121,2,22.0,54.0,82,86,37.0,116.0,7.0,51,243,18,8,22,137.0,24.0,15480.0,13,97,52,193.0,538.0,21,237.0,1540,198,145.0,11,240,27,24.0,445,40,36.0,138.0,36.0,285.0,28.0,968.0,2696.0,26.0,315.0,25.0,10.0,1676,149,129.0,19.0,76,116,17.0,2828,102.0,85.0,11,31.0,114.0,95,30
33,29.0,694,816,1789,6,34.0,1746,54,110,11,8.0,51.0,80,75,29.0,130.0,5.0,127,272,12,12,22,104.0,29.0,9921.0,6,78,26,164.0,431.0,25,201.0,1378,202,222.0,12,158,39,16.0,361,40,36.0,124.0,56.0,277.0,92.0,1109.0,1285.0,30.0,289.0,15.0,6.0,1309,128,116.0,20.0,58,82,17.0,2754,119.0,56.0,13,32.0,132.0,66,31
34,48.0,741,720,1533,7,33.0,1719,64,94,14,7.0,64.0,59,56,28.0,182.0,12.0,57,251,17,17,18,120.0,28.0,7242.0,12,65,39,130.0,380.0,17,201.0,988,240,128.0,7,175,30,22.0,314,41,73.0,113.0,50.0,302.0,34.0,1091.0,1122.0,45.0,298.0,24.0,9.0,1166,103,84.0,32.0,54,135,13.0,2270,119.0,25.0,11,111.0,141.0,78,39
35,24.0,776,638,1357,7,37.0,5607,59,92,13,14.0,46.0,42,76,23.0,137.0,15.0,48,275,21,8,28,145.0,36.0,16585.0,7,47,32,147.0,356.0,6,263.0,984,224,96.0,8,146,32,25.0,263,31,211.0,131.0,43.0,407.0,24.0,1108.0,1089.0,17.0,332.0,34.0,17.0,1245,122,64.0,21.0,35,107,12.0,2812,147.0,37.0,12,109.0,116.0,97,37
36,22.0,689,565,1323,3,37.0,1800,130,84,11,16.0,49.0,52,81,39.0,105.0,15.0,37,298,18,13,28,131.0,29.0,31647.0,3,62,48,151.0,438.0,11,340.0,1313,208,132.0,8,122,29,21.0,291,49,150.0,91.0,45.0,329.0,15.0,942.0,1150.0,22.0,267.0,17.0,12.0,2106,172,75.0,14.0,40,75,14.0,2710,97.0,11.0,6,109.0,141.0,58,68
37,186.0,698,831,1534,4,45.0,1113,205,49,11,16.0,61.0,83,69,37.0,77.0,17.0,55,307,21,10,27,99.0,47.0,19895.0,7,44,34,121.0,436.0,16,260.0,1145,214,163.0,10,111,40,20.0,376,39,52.0,360.0,41.0,272.0,27.0,983.0,1032.0,19.0,220.0,22.0,8.0,1711,188,98.0,26.0,43,66,18.0,2758,93.0,18.0,15,88.0,147.0,77,77
38,13.0,688,515,1592,6,27.0,1240,133,54,12,17.0,52.0,45,67,31.0,61.0,11.0,34,344,19,4,31,100.0,45.0,12926.0,10,39,38,102.0,352.0,15,225.0,1062,174,276.0,9,137,22,30.0,220,39,31.0,167.0,41.0,246.0,25.0,1138.0,946.0,26.0,265.0,23.0,8.0,1528,166,85.0,34.0,49,66,12.0,2283,100.0,20.0,5,24.0,134.0,58,27
39,17.0,565,508,1293,6,21.0,1372,73,67,6,17.0,29.0,58,83,30.0,70.0,9.0,43,287,26,7,41,105.0,35.0,19961.0,2,51,49,118.0,301.0,20,199.0,1479,145,330.0,6,131,26,16.0,324,39,39.0,96.0,23.0,264.0,37.0,1016.0,904.0,23.0,249.0,12.0,7.0,1535,157,72.0,26.0,56,103,12.0,2186,194.0,22.0,27,16.0,167.0,72,49
40,16.0,1109,426,1330,3,20.0,1235,121,64,10,19.0,45.0,39,82,21.0,46.0,18.0,53,275,15,4,50,90.0,52.0,10299.0,11,44,31,119.0,336.0,23,174.0,1112,205,177.0,4,123,32,19.0,464,40,27.0,95.0,32.0,159.0,56.0,1191.0,873.0,22.0,172.0,19.0,11.0,2051,145,71.0,17.0,49,90,13.0,2145,97.0,24.0,15,16.0,171.0,76,71
41,15.0,1056,728,1191,19,20.0,1511,86,58,30,20.0,32.0,36,61,17.0,46.0,14.0,56,291,20,7,52,86.0,30.0,8476.0,8,46,29,112.0,248.0,14,164.0,839,168,145.0,11,158,32,24.0,380,37,31.0,80.0,44.0,190.0,49.0,958.0,1085.0,28.0,193.0,21.0,7.0,1260,95,48.0,16.0,49,93,16.0,2195,89.0,14.0,5,11.0,173.0,58,49
42,18.0,900,682,1009,2,30.0,1498,66,46,15,14.0,51.0,41,48,26.0,51.0,15.0,51,279,17,16,47,98.0,40.0,8761.0,6,39,21,79.0,333.0,21,162.0,813,175,113.0,16,107,31,34.0,316,33,25.0,61.0,18.0,197.0,24.0,921.0,1038.0,26.0,157.0,19.0,7.0,1320,135,39.0,23.0,22,80,18.0,1865,75.0,24.0,6,9.0,144.0,53,55
43,17.0,662,588,1107,6,24.0,1513,89,63,10,20.0,48.0,30,52,34.0,63.0,28.0,41,251,15,6,31,68.0,34.0,10300.0,4,39,21,122.0,330.0,35,130.0,886,455,120.0,9,99,18,18.0,319,52,35.0,67.0,26.0,143.0,21.0,1038.0,1175.0,44.0,136.0,12.0,9.0,1440,176,44.0,22.0,40,65,16.0,2065,87.0,26.0,10,13.0,196.0,56,38
44,14.0,597,612,2748,8,25.0,2433,79,52,8,19.0,57.0,56,98,22.0,70.0,15.0,54,287,13,8,34,80.0,43.0,10014.0,3,31,17,137.0,367.0,19,118.0,877,164,128.0,10,124,28,16.0,311,33,30.0,73.0,25.0,156.0,47.0,1080.0,855.0,30.0,235.0,24.0,9.0,1193,155,61.0,16.0,51,64,22.0,2027,88.0,13.0,5,9.0,180.0,56,59
45,21.0,570,446,1855,4,33.0,1891,92,42,5,11.0,40.0,46,150,26.0,68.0,12.0,29,247,25,7,38,71.0,56.0,24917.0,6,35,29,89.0,327.0,23,155.0,885,141,120.0,3,159,29,19.0,280,39,28.0,65.0,32.0,176.0,58.0,1488.0,918.0,21.0,191.0,19.0,6.0,1242,134,51.0,15.0,45,45,14.0,2008,75.0,34.0,6,17.0,137.0,51,47
46,28.0,560,541,1345,3,39.0,1543,65,50,3,13.0,43.0,35,70,18.0,44.0,12.0,35,239,24,8,51,73.0,51.0,8617.0,4,25,32,77.0,312.0,10,174.0,777,126,134.0,9,129,30,17.0,251,42,39.0,76.0,40.0,131.0,42.0,1432.0,761.0,20.0,178.0,23.0,2.0,1249,126,47.0,19.0,45,77,15.0,2032,99.0,13.0,11,19.0,167.0,37,37
47,12.0,652,495,1182,6,15.0,1545,119,45,11,18.0,30.0,41,71,17.0,43.0,17.0,24,271,14,1,28,93.0,33.0,7148.0,3,36,26,55.0,258.0,15,161.0,686,165,108.0,10,102,27,12.0,257,53,30.0,76.0,20.0,189.0,53.0,1365.0,626.0,14.0,181.0,19.0,14.0,1230,1145,47.0,14.0,39,79,16.0,1875,92.0,11.0,10,15.0,177.0,70,50
48,17.0,574,404,1045,5,28.0,1515,91,37,10,15.0,34.0,40,38,19.0,50.0,9.0,38,280,16,4,20,98.0,34.0,5706.0,3,38,38,64.0,289.0,19,172.0,595,371,93.0,16,98,27,13.0,387,40,49.0,58.0,30.0,195.0,27.0,1238.0,649.0,23.0,205.0,16.0,7.0,962,1993,42.0,16.0,37,54,11.0,1778,116.0,13.0,3,15.0,128.0,135,43
49,20.0,549,380,894,33,21.0,1576,61,35,10,16.0,48.0,28,54,19.0,53.0,13.0,38,236,10,7,22,78.0,54.0,6032.0,6,71,21,67.0,259.0,35,138.0,610,165,98.0,6,100,21,20.0,246,32,25.0,132.0,31.0,307.0,36.0,1260.0,698.0,20.0,139.0,20.0,12.0,1054,2604,34.0,16.0,44,55,14.0,2101,337.0,15.0,9,14.0,132.0,399,57
50,29.0,546,383,1374,18,12.0,1409,62,39,9,11.0,74.0,58,57,21.0,45.0,14.0,36,234,18,30,18,73.0,33.0,7261.0,7,50,20,82.0,394.0,17,106.0,507,118,106.0,3,296,32,11.0,252,38,35.0,101.0,24.0,223.0,22.0,1517.0,610.0,36.0,102.0,21.0,11.0,1063,3162,41.0,16.0,35,57,12.0,2324,159.0,14.0,9,8.0,132.0,263,41
51,19.0,524,364,1282,23,23.0,961,34,36,6,16.0,62.0,42,69,23.0,46.0,16.0,33,232,20,14,19,78.0,45.0,7480.0,3,31,23,90.0,324.0,19,131.0,713,134,106.0,4,404,19,14.0,295,30,15.0,65.0,37.0,189.0,47.0,1662.0,729.0,14.0,123.0,14.0,11.0,976,1592,42.0,27.0,32,54,10.0,2271,86.0,36.0,6,13.0,167.0,246,46
52,21.0,433,357,1165,13,22.0,1110,55,35,5,10.0,38.0,71,44,21.0,54.0,13.0,28,192,20,11,14,79.0,42.0,6671.0,7,49,24,150.0,769.0,15,142.0,856,163,105.0,7,220,26,24.0,230,28,32.0,72.0,43.0,236.0,63.0,1611.0,630.0,38.0,164.0,15.0,38.0,1039,972,55.0,17.0,50,63,11.0,2114,111.0,12.0,7,10.0,210.0,133,48
53,16.0,396,351,922,12,29.0,1274,56,44,4,15.0,41.0,31,59,22.0,71.0,15.0,30,125,10,4,24,64.0,29.0,5469.0,16,39,20,219.0,1025.0,25,120.0,725,131,82.0,16,161,16,14.0,210,33,26.0,83.0,43.0,241.0,37.0,1596.0,593.0,22.0,132.0,16.0,33.0,1014,772,52.0,18.0,45,69,11.0,2786,86.0,22.0,4,12.0,158.0,119,56
54,21.0,682,357,795,9,30.0,1228,62,40,9,11.0,46.0,37,46,21.0,67.0,15.0,33,159,21,5,18,64.0,29.0,6242.0,8,22,20,112.0,695.0,19,108.0,680,152,103.0,6,130,25,14.0,255,24,27.0,77.0,62.0,206.0,40.0,1458.0,594.0,21.0,162.0,21.0,17.0,909,620,48.0,16.0,22,81,18.0,2452,189.0,58.0,2,9.0,146.0,136,37
55,19.0,705,304,819,7,24.0,1118,42,37,5,13.0,42.0,44,25,16.0,184.0,9.0,29,132,13,5,23,74.0,29.0,6272.0,8,32,18,111.0,553.0,19,122.0,729,129,84.0,4,108,18,17.0,252,38,23.0,75.0,46.0,225.0,43.0,1227.0,736.0,19.0,151.0,11.0,17.0,690,371,51.0,13.0,29,39,13.0,1941,84.0,98.0,8,15.0,171.0,113,36
56,20.0,601,368,1010,2,24.0,763,53,40,8,14.0,47.0,42,44,27.0,94.0,16.0,28,128,16,8,25,62.0,24.0,8520.0,1,32,27,1689.0,452.0,18,97.0,650,112,94.0,6,129,25,12.0,295,142,26.0,84.0,28.0,173.0,23.0,1500.0,671.0,14.0,120.0,14.0,9.0,796,294,29.0,16.0,33,62,12.0,1823,127.0,69.0,5,15.0,144.0,81,38
57,25.0,564,455,917,1,21.0,771,56,28,9,11.0,44.0,63,45,27.0,80.0,11.0,27,117,16,5,11,88.0,35.0,8265.0,5,24,22,6400.0,412.0,21,98.0,725,122,81.0,11,90,27,14.0,286,202,16.0,72.0,23.0,173.0,25.0,1140.0,697.0,17.0,92.0,13.0,17.0,978,231,42.0,17.0,35,151,21.0,1920,99.0,47.0,9,11.0,155.0,53,49
58,30.0,473,298,1056,1,32.0,1205,56,31,10,14.0,55.0,74,55,15.0,64.0,18.0,35,102,19,11,25,93.0,42.0,8641.0,7,24,20,2847.0,376.0,18,123.0,770,122,92.0,5,92,30,14.0,191,84,22.0,72.0,25.0,157.0,44.0,1005.0,548.0,29.0,107.0,18.0,10.0,946,179,45.0,14.0,28,138,15.0,1763,89.0,21.0,8,11.0,139.0,50,57
59,44.0,448,3794,994,3,18.0,1063,56,23,5,10.0,50.0,54,56,27.0,65.0,16.0,19,138,24,7,12,75.0,25.0,8100.0,19,29,33,1144.0,479.0,15,127.0,654,110,100.0,7,114,24,15.0,192,56,24.0,53.0,36.0,140.0,76.0,1271.0,518.0,28.0,155.0,11.0,7.0,992,143,49.0,12.0,57,92,28.0,1644,61.0,15.0,7,15.0,170.0,30,50
60,21.0,395,1761,950,5,27.0,1291,43,19,10,10.0,27.0,31,62,24.0,69.0,19.0,30,116,22,5,12,62.0,32.0,7791.0,16,37,18,762.0,421.0,24,112.0,652,131,82.0,6,131,23,13.0,230,95,43.0,113.0,30.0,180.0,43.0,1119.0,470.0,26.0,138.0,11.0,10.0,911,174,47.0,17.0,50,102,12.0,1565,64.0,19.0,9,11.0,176.0,33,47
61,15.0,333,482,871,3,31.0,1240,44,25,10,6.0,25.0,44,30,26.0,55.0,11.0,23,132,13,7,15,64.0,23.0,6875.0,7,32,22,534.0,279.0,19,112.0,683,141,91.0,7,100,24,21.0,210,45,27.0,93.0,25.0,164.0,41.0,1052.0,471.0,16.0,254.0,26.0,12.0,917,98,51.0,13.0,43,76,19.0,1452,69.0,23.0,3,10.0,338.0,104,29
62,17.0,454,605,937,7,24.0,2621,46,14,15,8.0,38.0,41,41,14.0,72.0,21.0,23,160,15,4,20,84.0,31.0,6383.0,5,26,17,347.0,204.0,13,77.0,590,136,80.0,9,123,15,17.0,217,49,15.0,87.0,29.0,167.0,27.0,904.0,545.0,23.0,486.0,14.0,18.0,757,92,97.0,11.0,39,69,12.0,1546,93.0,46.0,12,5.0,174.0,67,43
63,30.0,411,686,1043,2,36.0,7562,102,29,6,20.0,32.0,42,40,24.0,60.0,18.0,33,124,9,10,29,47.0,27.0,6901.0,5,27,12,358.0,254.0,22,86.0,660,130,68.0,4,98,16,13.0,179,48,15.0,73.0,26.0,211.0,26.0,990.0,556.0,14.0,230.0,18.0,7.0,903,105,100.0,16.0,38,61,16.0,1793,60.0,30.0,4,5.0,145.0,33,44
64,19.0,397,927,1148,5,25.0,3965,66,32,8,16.0,46.0,29,33,22.0,33.0,13.0,34,122,12,11,21,73.0,48.0,8096.0,4,28,20,397.0,349.0,21,94.0,673,127,81.0,7,76,18,18.0,233,33,20.0,49.0,20.0,125.0,27.0,939.0,562.0,26.0,193.0,12.0,9.0,1009,111,62.0,18.0,52,49,17.0,1692,69.0,45.0,8,7.0,163.0,49,38
65,17.0,366,907,1173,3,31.0,2630,40,34,8,13.0,29.0,39,48,15.0,48.0,12.0,38,115,11,4,24,60.0,31.0,7607.0,5,30,19,409.0,331.0,25,108.0,719,102,88.0,8,94,15,22.0,201,48,27.0,118.0,13.0,100.0,47.0,922.0,608.0,19.0,176.0,10.0,11.0,878,142,63.0,13.0,51,64,9.0,1556,45.0,42.0,7,13.0,149.0,149,37
66,15.0,396,521,1246,6,18.0,3375,42,24,14,10.0,54.0,45,46,8.0,53.0,33.0,32,172,14,6,18,448.0,25.0,7366.0,3,21,13,524.0,348.0,11,118.0,693,106,75.0,9,106,21,16.0,216,36,15.0,76.0,31.0,121.0,31.0,1081.0,703.0,27.0,141.0,20.0,9.0,870,128,55.0,11.0,49,58,17.0,1516,43.0,37.0,4,13.0,153.0,88,35
67,29.0,373,438,1129,1,22.0,2957,55,25,13,6.0,37.0,37,37,31.0,39.0,28.0,33,136,15,2,14,330.0,37.0,7336.0,4,26,32,288.0,258.0,15,107.0,1115,123,98.0,9,158,19,17.0,208,39,15.0,81.0,30.0,142.0,27.0,927.0,612.0,24.0,161.0,15.0,11.0,1091,98,49.0,15.0,36,43,13.0,1688,177.0,26.0,10,15.0,184.0,107,29
68,184.0,326,370,1116,4,23.0,2348,51,32,9,20.0,20.0,36,48,19.0,39.0,17.0,25,151,14,3,12,108.0,30.0,6314.0,4,36,26,219.0,364.0,19,103.0,1677,123,69.0,5,127,20,20.0,208,39,24.0,80.0,32.0,145.0,28.0,939.0,452.0,20.0,143.0,12.0,7.0,998,109,39.0,14.0,41,67,17.0,1562,163.0,28.0,12,12.0,182.0,87,35
69,49.0,363,320,1223,11,24.0,1758,52,24,8,11.0,29.0,24,33,26.0,53.0,8.0,21,138,15,1,21,99.0,22.0,5164.0,3,31,24,146.0,259.0,16,83.0,798,133,72.0,5,113,21,16.0,176,36,26.0,63.0,31.0,136.0,33.0,815.0,601.0,13.0,152.0,12.0,7.0,744,96,51.0,13.0,37,69,25.0,1373,73.0,25.0,10,15.0,166.0,61,35
70,29.0,433,346,1024,17,16.0,1634,54,22,20,3.0,49.0,26,26,15.0,55.0,22.0,40,107,13,6,28,122.0,28.0,5356.0,5,26,23,122.0,320.0,14,75.0,786,99,60.0,3,103,20,17.0,169,40,15.0,61.0,37.0,120.0,17.0,797.0,703.0,21.0,125.0,23.0,24.0,767,93,23.0,14.0,30,49,17.0,1543,85.0,19.0,4,31.0,263.0,74,25
71,33.0,402,259,980,9,28.0,1436,39,21,12,14.0,70.0,23,37,13.0,52.0,18.0,43,75,10,5,20,92.0,25.0,8223.0,6,58,27,166.0,305.0,18,99.0,642,232,67.0,2,92,21,28.0,177,44,18.0,53.0,26.0,132.0,27.0,877.0,640.0,20.0,112.0,21.0,53.0,881,158,59.0,13.0,40,79,23.0,1421,79.0,53.0,9,7.0,164.0,49,42
72,20.0,354,211,956,6,21.0,987,37,19,10,8.0,42.0,35,43,27.0,37.0,9.0,25,103,19,2,28,87.0,45.0,7653.0,8,31,18,122.0,310.0,18,116.0,646,288,92.0,4,108,19,12.0,208,32,11.0,81.0,38.0,124.0,30.0,813.0,523.0,19.0,154.0,11.0,49.0,827,132,69.0,16.0,42,52,19.0,1459,68.0,13.0,10,7.0,159.0,47,53
73,20.0,347,216,950,5,17.0,1140,26,29,4,15.0,54.0,28,33,16.0,33.0,11.0,24,85,24,5,11,69.0,134.0,7124.0,4,23,24,121.0,249.0,23,141.0,738,197,105.0,8,101,25,14.0,162,30,11.0,108.0,25.0,115.0,23.0,844.0,581.0,18.0,325.0,12.0,47.0,1358,130,54.0,14.0,45,56,18.0,1470,48.0,31.0,7,10.0,151.0,38,48
74,12.0,339,280,840,2,31.0,1367,39,26,3,18.0,34.0,28,34,21.0,34.0,9.0,31,99,17,1,18,69.0,163.0,7089.0,5,36,19,70.0,711.0,22,109.0,707,202,84.0,4,85,23,22.0,197,23,26.0,85.0,30.0,108.0,19.0,847.0,532.0,19.0,840.0,8.0,41.0,703,116,48.0,12.0,40,40,13.0,1475,68.0,30.0,2,7.0,158.0,36,48
75,24.0,314,254,894,7,28.0,1218,48,17,7,10.0,52.0,29,50,20.0,41.0,18.0,23,136,14,5,16,63.0,70.0,6053.0,2,29,21,79.0,189.0,25,86.0,648,182,127.0,6,93,16,30.0,201,27,18.0,80.0,33.0,103.0,26.0,869.0,528.0,12.0,439.0,16.0,14.0,685,94,53.0,8.0,23,60,18.0,1179,68.0,14.0,11,13.0,143.0,31,30
76,17.0,444,294,934,19,25.0,1099,47,28,6,9.0,49.0,54,30,22.0,40.0,16.0,23,87,12,3,19,67.0,40.0,4930.0,5,20,30,90.0,218.0,19,101.0,646,190,118.0,6,95,14,22.0,238,36,17.0,64.0,34.0,84.0,21.0,854.0,648.0,25.0,292.0,14.0,18.0,669,80,48.0,14.0,27,73,9.0,1291,85.0,17.0,4,17.0,158.0,41,34
77,17.0,454,695,771,9,14.0,938,54,25,5,9.0,30.0,49,32,41.0,39.0,21.0,31,69,17,2,21,70.0,54.0,5028.0,3,29,27,92.0,271.0,15,120.0,667,130,74.0,7,93,18,28.0,218,23,11.0,59.0,31.0,101.0,28.0,769.0,760.0,15.0,184.0,9.0,14.0,593,89,39.0,16.0,27,125,10.0,1269,90.0,24.0,6,16.0,181.0,29,34
78,1309.0,406,1190,786,9,19.0,794,90,28,7,5.0,65.0,45,35,43.0,36.0,13.0,20,106,17,3,16,89.0,51.0,6387.0,4,30,19,102.0,237.0,12,106.0,714,158,74.0,7,90,32,18.0,192,21,18.0,75.0,28.0,120.0,30.0,884.0,593.0,16.0,162.0,17.0,25.0,769,170,52.0,13.0,18,94,10.0,1162,43.0,19.0,9,18.0,188.0,26,30
