,2015_Illapel_earthquake,2016_Taiwan_earthquake,2016_Sumatra_earthquake,2016_Afghanistan_earthquake,2016_Kumamoto_earthquakes,2016_Ecuador_earthquake,August_2016_Myanmar_earthquake,2016_Kaikoura_earthquake,2016_Aceh_earthquake,January_2017_Central_Italy_earthquakes,2017_Surigao_earthquake,2017_Leyte_earthquake,2017_Aegean_Sea_earthquake,2017_Jiuzhaigou_earthquake,2017_Ischia_earthquake,2017_Chiapas_earthquake,2017_Central_Mexico_earthquake,2017_Iran%E2%80%93Iraq_earthquake,2018_Swan_Islands_earthquake,2018_Hualien_earthquake,2018_Oaxaca_earthquake,2018_Papua_New_Guinea_earthquake,2018_Osaka_earthquake,2018_Hokkaido_Eastern_Iburi_earthquake,2018_Sulawesi_earthquake_and_tsunami,2018_Haiti_earthquake,2018_Anchorage_earthquake,2019_Luzon_earthquake,2019_Peru_earthquake,2019_Albania_earthquake,2019_Davao_del_Sur_earthquake,2020_Elaz%C4%B1%C4%9F_earthquake,2020_Caribbean_earthquake,2020_Oaxaca_earthquake
168,273.0,77,23,22,300,296.0,25,230.0,50.0,81,26.0,21.0,17.0,56,12,131,723.0,54.0,19,47.0,20.0,86,115.0,78.0,339.0,26,147,140,110,98,11,22,86.0,47
169,236.0,55,23,18,274,319.0,17,369.0,22.0,84,40.0,12.0,10.0,29,21,91,675.0,71.0,25,53.0,43.0,82,143.0,740.0,241.0,31,79,130,137,108,17,27,74.0,56
170,185.0,70,26,22,333,353.0,18,324.0,33.0,85,74.0,22.0,17.0,28,39,130,576.0,74.0,22,67.0,72.0,95,109.0,402.0,318.0,33,195,152,142,106,15,31,75.0,85
171,112.0,104,25,16,346,312.0,24,355.0,38.0,93,70.0,9.0,14.0,25,21,175,540.0,94.0,28,36.0,80.0,84,126.0,148.0,476.0,37,135,115,105,138,12,34,59.0,55
172,140.0,90,27,18,346,311.0,18,364.0,8.0,83,101.0,11.0,20.0,18,12,149,311.0,51.0,23,32.0,41.0,99,129.0,135.0,393.0,37,161,92,118,114,25,32,70.0,39
173,266.0,65,40,15,413,328.0,24,305.0,22.0,88,75.0,21.0,16.0,32,6,177,380.0,69.0,27,57.0,45.0,70,74.0,124.0,451.0,37,123,106,89,115,21,33,37.0,30
174,165.0,89,26,22,373,301.0,23,203.0,31.0,136,59.0,23.0,14.0,50,16,212,586.0,56.0,18,37.0,37.0,70,91.0,122.0,436.0,15,116,143,71,110,12,33,71.0,37
175,174.0,92,216,18,365,210.0,28,263.0,26.0,86,40.0,18.0,10.0,31,9,175,572.0,75.0,30,68.0,31.0,119,120.0,113.0,350.0,24,110,208,111,134,20,26,81.0,71
176,202.0,71,145,28,305,233.0,27,360.0,35.0,88,44.0,25.0,7.0,26,9,134,518.0,82.0,19,52.0,24.0,96,111.0,98.0,230.0,31,73,170,141,124,15,40,138.0,72
177,174.0,64,94,31,400,274.0,18,382.0,20.0,55,77.0,29.0,20.0,46,6,122,531.0,95.0,14,48.0,34.0,101,109.0,100.0,397.0,37,136,619,119,136,24,43,123.0,48
178,118.0,97,74,14,351,344.0,22,399.0,27.0,73,92.0,10.0,9.0,33,16,165,448.0,71.0,22,34.0,28.0,115,228.0,106.0,350.0,27,193,537,134,110,9,40,88.0,31
