,2015_Bangkok_bombing,2015_Chattanooga_shootings,Umpqua_Community_College_shooting,June_2016_Tel_Aviv_shooting,2016_shooting_of_Almaty_police_officers,Botroseya_Church_bombing,August_2016_Gaziantep_bombing,July_2016_Kabul_bombing,Orlando_nightclub_shooting,Sagamihara_stabbings,Al-Faqma_ice_cream_parlor_bombing,Manchester_Arena_bombing,2017_Nasiriyah_attacks,2017_Peshawar_Agriculture_Directorate_attack,Quebec_City_mosque_shooting,2017_Quetta_church_attack,2017_Sinai_mosque_attack,Sutherland_Springs_church_shooting,2017_Tehran_attacks,Ahvaz_military_parade_attack,Campinas_Cathedral_shooting,Carcassonne_and_Tr%C3%A8bes_attack,2018_Minya_bus_attack,2018_M%C3%BCnster_attack,2018_Ouagadougou_attacks,2018_Strasbourg_attack,Thousand_Oaks_shooting,Toronto_van_attack,2019_Altamira_prison_riot,"Aurora,_Illinois_shooting",2019_Dayton_shooting,2019_Jolo_Cathedral_bombings,17_August_2019_Kabul_bombing,Paris_police_headquarters_stabbing,2019_Sri_Lanka_Easter_bombings,Kabul_gurdwara_attack,Pakistan_Stock_Exchange_attack
36,689,565,1800,130,11,49.0,52,81,37,298,28,3,62,48,438.0,11,340.0,1313,208,132.0,8,122,49,150.0,45.0,329.0,942.0,1150.0,22.0,267.0,2106,172,75.0,75,2710,58,68
37,698,831,1113,205,11,61.0,83,69,55,307,27,7,44,34,436.0,16,260.0,1145,214,163.0,10,111,39,52.0,41.0,272.0,983.0,1032.0,19.0,220.0,1711,188,98.0,66,2758,77,77
38,688,515,1240,133,12,52.0,45,67,34,344,31,10,39,38,352.0,15,225.0,1062,174,276.0,9,137,39,31.0,41.0,246.0,1138.0,946.0,26.0,265.0,1528,166,85.0,66,2283,58,27
39,565,508,1372,73,6,29.0,58,83,43,287,41,2,51,49,301.0,20,199.0,1479,145,330.0,6,131,39,39.0,23.0,264.0,1016.0,904.0,23.0,249.0,1535,157,72.0,103,2186,72,49
40,1109,426,1235,121,10,45.0,39,82,53,275,50,11,44,31,336.0,23,174.0,1112,205,177.0,4,123,40,27.0,32.0,159.0,1191.0,873.0,22.0,172.0,2051,145,71.0,90,2145,76,71
41,1056,728,1511,86,30,32.0,36,61,56,291,52,8,46,29,248.0,14,164.0,839,168,145.0,11,158,37,31.0,44.0,190.0,958.0,1085.0,28.0,193.0,1260,95,48.0,93,2195,58,49
42,900,682,1498,66,15,51.0,41,48,51,279,47,6,39,21,333.0,21,162.0,813,175,113.0,16,107,33,25.0,18.0,197.0,921.0,1038.0,26.0,157.0,1320,135,39.0,80,1865,53,55
43,662,588,1513,89,10,48.0,30,52,41,251,31,4,39,21,330.0,35,130.0,886,455,120.0,9,99,52,35.0,26.0,143.0,1038.0,1175.0,44.0,136.0,1440,176,44.0,65,2065,56,38
44,597,612,2433,79,8,57.0,56,98,54,287,34,3,31,17,367.0,19,118.0,877,164,128.0,10,124,33,30.0,25.0,156.0,1080.0,855.0,30.0,235.0,1193,155,61.0,64,2027,56,59
45,570,446,1891,92,5,40.0,46,150,29,247,38,6,35,29,327.0,23,155.0,885,141,120.0,3,159,39,28.0,32.0,176.0,1488.0,918.0,21.0,191.0,1242,134,51.0,45,2008,51,47
46,560,541,1543,65,3,43.0,35,70,35,239,51,4,25,32,312.0,10,174.0,777,126,134.0,9,129,42,39.0,40.0,131.0,1432.0,761.0,20.0,178.0,1249,126,47.0,77,2032,37,37
47,652,495,1545,119,11,30.0,41,71,24,271,28,3,36,26,258.0,15,161.0,686,165,108.0,10,102,53,30.0,20.0,189.0,1365.0,626.0,14.0,181.0,1230,1145,47.0,79,1875,70,50
48,574,404,1515,91,10,34.0,40,38,38,280,20,3,38,38,289.0,19,172.0,595,371,93.0,16,98,40,49.0,30.0,195.0,1238.0,649.0,23.0,205.0,962,1993,42.0,54,1778,135,43
49,549,380,1576,61,10,48.0,28,54,38,236,22,6,71,21,259.0,35,138.0,610,165,98.0,6,100,32,25.0,31.0,307.0,1260.0,698.0,20.0,139.0,1054,2604,34.0,55,2101,399,57
50,546,383,1409,62,9,74.0,58,57,36,234,18,7,50,20,394.0,17,106.0,507,118,106.0,3,296,38,35.0,24.0,223.0,1517.0,610.0,36.0,102.0,1063,3162,41.0,57,2324,263,41
